date,event,side,price,won
2026-02-15,Emarginal0,YES,0.5,true
2026-02-15,Emarginal1,YES,0.5,true
2026-02-15,Emarginal2,YES,0.5,true
2026-02-15,Emarginal3,YES,0.5,true
2026-02-15,Emarginal4,YES,0.5,true
2026-02-15,Emarginal5,YES,0.5,true
2026-02-15,Emarginal6,YES,0.5,true
2026-02-15,Emarginal7,YES,0.5,true
2026-02-15,Emarginal8,YES,0.5,true
2026-02-15,Emarginal9,YES,0.5,true
2026-02-15,Emarginal10,YES,0.5,true
2026-02-15,Emarginal11,YES,0.5,true
2026-02-15,Emarginal12,YES,0.5,true
2026-02-15,Emarginal13,YES,0.5,true
2026-02-15,Emarginal14,YES,0.5,true
2026-02-15,Emarginal15,YES,0.5,true
2026-02-15,Emarginal16,YES,0.5,true
2026-02-15,Emarginal17,YES,0.5,true
2026-02-15,Emarginal18,YES,0.5,true
2026-02-15,Emarginal19,YES,0.5,true
2026-02-15,Emarginal20,YES,0.5,true
2026-02-15,Emarginal21,YES,0.5,true
2026-02-15,Emarginal22,YES,0.5,true
2026-02-15,Emarginal23,YES,0.5,true
2026-02-16,Emarginal24,YES,0.5,false
2026-02-16,Emarginal25,YES,0.5,false
2026-02-16,Emarginal26,YES,0.5,false
2026-02-16,Emarginal27,YES,0.5,false
2026-02-16,Emarginal28,YES,0.5,false
2026-02-16,Emarginal29,YES,0.5,false
2026-02-16,Emarginal30,YES,0.5,false
2026-02-16,Emarginal31,YES,0.5,false
2026-02-16,Emarginal32,YES,0.5,false
2026-02-16,Emarginal33,YES,0.5,false
2026-02-16,Emarginal34,YES,0.5,false
2026-02-16,Emarginal35,YES,0.5,false
2026-02-16,Emarginal36,YES,0.5,false
2026-02-16,Emarginal37,YES,0.5,false
2026-02-16,Emarginal38,YES,0.5,false
2026-02-16,Emarginal39,YES,0.5,false
