date,event,side,price,won
2026-02-15,Estrong0,YES,0.3,true
2026-02-15,Estrong1,YES,0.3,true
2026-02-15,Estrong2,YES,0.3,true
2026-02-15,Estrong3,YES,0.3,true
2026-02-15,Estrong4,YES,0.3,true
2026-02-15,Estrong5,YES,0.3,true
2026-02-15,Estrong6,YES,0.3,true
2026-02-15,Estrong7,YES,0.3,true
2026-02-15,Estrong8,YES,0.3,true
2026-02-15,Estrong9,YES,0.3,true
2026-02-15,Estrong10,YES,0.3,true
2026-02-15,Estrong11,YES,0.3,true
2026-02-15,Estrong12,YES,0.3,true
2026-02-15,Estrong13,YES,0.3,true
2026-02-15,Estrong14,YES,0.3,true
2026-02-15,Estrong15,YES,0.3,true
2026-02-15,Estrong16,YES,0.3,true
2026-02-15,Estrong17,YES,0.3,true
2026-02-15,Estrong18,YES,0.3,true
2026-02-15,Estrong19,YES,0.3,true
2026-02-15,Estrong20,YES,0.3,true
2026-02-15,Estrong21,YES,0.3,true
2026-02-15,Estrong22,YES,0.3,true
2026-02-15,Estrong23,YES,0.3,true
2026-02-15,Estrong24,YES,0.3,true
2026-02-15,Estrong25,YES,0.3,true
2026-02-15,Estrong26,YES,0.3,true
2026-02-15,Estrong27,YES,0.3,true
2026-02-15,Estrong28,YES,0.3,true
2026-02-15,Estrong29,YES,0.3,true
2026-02-15,Estrong30,YES,0.3,true
2026-02-15,Estrong31,YES,0.3,true
2026-02-15,Estrong32,YES,0.3,true
2026-02-15,Estrong33,YES,0.3,true
2026-02-16,Estrong34,YES,0.3,false
2026-02-16,Estrong35,YES,0.3,false
2026-02-16,Estrong36,YES,0.3,false
2026-02-16,Estrong37,YES,0.3,false
2026-02-16,Estrong38,YES,0.3,false
2026-02-16,Estrong39,YES,0.3,false
