date,event,side,price,won,prob
2026-01-02,MKT-3000,YES,0.55,false,0.70
2026-01-03,MKT-3001,YES,0.59,true,0.70
2026-01-04,MKT-3002,YES,0.55,false,0.70
2026-01-05,MKT-3003,YES,0.52,true,0.70
2026-01-06,MKT-3004,YES,0.56,false,0.70
2026-01-07,MKT-3005,YES,0.51,true,0.70
2026-01-08,MKT-3006,YES,0.51,false,0.70
2026-01-09,MKT-3007,YES,0.57,true,0.70
2026-01-10,MKT-3008,YES,0.6,false,0.70
2026-01-11,MKT-3009,YES,0.57,false,0.70
2026-01-12,MKT-3010,YES,0.52,true,0.70
2026-01-13,MKT-3011,YES,0.55,true,0.70
2026-01-14,MKT-3012,YES,0.52,true,0.70
2026-01-15,MKT-3013,YES,0.5,true,0.70
2026-01-16,MKT-3014,YES,0.54,false,0.70
2026-01-17,MKT-3015,YES,0.55,false,0.70
2026-01-18,MKT-3016,YES,0.55,false,0.70
2026-01-19,MKT-3017,YES,0.55,true,0.70
2026-01-20,MKT-3018,YES,0.6,false,0.70
2026-01-21,MKT-3019,YES,0.58,false,0.70
2026-01-02,MKT-3020,YES,0.53,true,0.70
2026-01-03,MKT-3021,YES,0.53,true,0.70
2026-01-04,MKT-3022,YES,0.58,true,0.70
2026-01-05,MKT-3023,YES,0.58,true,0.70
2026-01-06,MKT-3024,YES,0.6,false,0.70
2026-01-07,MKT-3025,YES,0.5,true,0.70
2026-01-08,MKT-3026,YES,0.59,true,0.70
2026-01-09,MKT-3027,YES,0.6,true,0.70
2026-01-10,MKT-3028,YES,0.51,false,0.70
2026-01-11,MKT-3029,YES,0.58,true,0.70
2026-01-12,MKT-3030,YES,0.51,true,0.70
2026-01-13,MKT-3031,YES,0.6,false,0.70
2026-01-14,MKT-3032,YES,0.51,true,0.70
2026-01-15,MKT-3033,YES,0.51,true,0.70
2026-01-16,MKT-3034,YES,0.58,true,0.70
2026-01-17,MKT-3035,YES,0.56,true,0.70
2026-01-18,MKT-3036,YES,0.52,false,0.70
2026-01-19,MKT-3037,YES,0.51,false,0.70
2026-01-20,MKT-3038,YES,0.51,true,0.70
2026-01-21,MKT-3039,YES,0.52,true,0.70
2026-01-02,MKT-3040,YES,0.6,false,0.70
2026-01-03,MKT-3041,YES,0.53,false,0.70
2026-01-04,MKT-3042,YES,0.52,true,0.70
2026-01-05,MKT-3043,YES,0.59,false,0.70
2026-01-06,MKT-3044,YES,0.51,false,0.70
2026-01-07,MKT-3045,YES,0.52,true,0.70
2026-01-08,MKT-3046,YES,0.58,true,0.70
2026-01-09,MKT-3047,YES,0.53,true,0.70
2026-01-10,MKT-3048,YES,0.51,false,0.70
2026-01-11,MKT-3049,YES,0.52,false,0.70
