date,event,side,price,won
2026-01-02,MKT-2000,YES,0.46,false
2026-01-03,MKT-2001,YES,0.53,true
2026-01-04,MKT-2002,YES,0.5,true
2026-01-05,MKT-2003,YES,0.52,false
2026-01-06,MKT-2004,YES,0.46,true
2026-01-07,MKT-2005,YES,0.53,true
2026-01-08,MKT-2006,YES,0.53,true
2026-01-09,MKT-2007,YES,0.49,false
2026-01-10,MKT-2008,YES,0.47,false
2026-01-11,MKT-2009,YES,0.54,true
2026-01-12,MKT-2010,YES,0.45,false
2026-01-13,MKT-2011,YES,0.54,true
2026-01-14,MKT-2012,YES,0.47,true
2026-01-15,MKT-2013,YES,0.45,true
2026-01-16,MKT-2014,YES,0.49,false
2026-01-17,MKT-2015,YES,0.47,true
2026-01-18,MKT-2016,YES,0.47,true
2026-01-19,MKT-2017,YES,0.48,true
2026-01-20,MKT-2018,YES,0.53,false
2026-01-21,MKT-2019,YES,0.51,true
2026-01-02,MKT-2020,YES,0.55,false
2026-01-03,MKT-2021,YES,0.46,true
2026-01-04,MKT-2022,YES,0.52,false
2026-01-05,MKT-2023,YES,0.54,true
2026-01-06,MKT-2024,YES,0.53,false
2026-01-07,MKT-2025,YES,0.48,false
2026-01-08,MKT-2026,YES,0.54,false
2026-01-09,MKT-2027,YES,0.5,false
2026-01-10,MKT-2028,YES,0.45,true
2026-01-11,MKT-2029,YES,0.53,true
2026-01-12,MKT-2030,YES,0.47,false
2026-01-13,MKT-2031,YES,0.52,false
2026-01-14,MKT-2032,YES,0.49,true
2026-01-15,MKT-2033,YES,0.5,false
2026-01-16,MKT-2034,YES,0.5,true
2026-01-17,MKT-2035,YES,0.5,true
2026-01-18,MKT-2036,YES,0.45,false
2026-01-19,MKT-2037,YES,0.55,false
2026-01-20,MKT-2038,YES,0.49,true
2026-01-21,MKT-2039,YES,0.5,false
2026-01-02,MKT-2040,YES,0.53,false
2026-01-03,MKT-2041,YES,0.54,true
2026-01-04,MKT-2042,YES,0.5,false
2026-01-05,MKT-2043,YES,0.51,true
2026-01-06,MKT-2044,YES,0.48,false
2026-01-07,MKT-2045,YES,0.55,true
2026-01-08,MKT-2046,YES,0.53,false
2026-01-09,MKT-2047,YES,0.54,false
2026-01-10,MKT-2048,YES,0.53,true
2026-01-11,MKT-2049,YES,0.51,true
2026-01-12,MKT-2050,YES,0.46,false
2026-01-13,MKT-2051,YES,0.51,true
2026-01-14,MKT-2052,YES,0.5,true
2026-01-15,MKT-2053,YES,0.49,true
2026-01-16,MKT-2054,YES,0.5,false
2026-01-17,MKT-2055,YES,0.51,true
2026-01-18,MKT-2056,YES,0.45,true
2026-01-19,MKT-2057,YES,0.47,false
2026-01-20,MKT-2058,YES,0.54,false
2026-01-21,MKT-2059,YES,0.53,false
